id,location,lanes,one_way
11702,BLACK CREEK BLVD AT DALRYMPLE DR & JANE ST,2
41370,DUNDAS ST E AT DON VALLEY PARKWAY N RAMP,2
5802,DUNDAS ST AT LOGAN AVE (PX 290),1
41371,DUNDAS ST E AT REGENT ST,2
33921,DUNDAS ST AT SACKVILLE ST (PX 2354),2,1
41372,DUNDAS ST E AT REGENT PARK BLVD,2,1
6038,DUNDAS ST AT SUMACH ST (PX 903),2,1
41373,DUNDAS ST E AT TUBMAN AVE,2,1
41374,DUNDAS ST E AT CARROLL ST,2
4031,DUNDAS ST AT MUNRO ST (PX 1117),2
41375,DUNDAS ST E AT DE GRASSI ST,1,1
20294,DUNDAS ST AT HAMILTON ST,2,1
6039,BOULTON AVE AT DUNDAS ST (PX 291),1,1
41376,GODSTONE RD AT KINGSLAKE RD,1
4864,DUNDAS ST AT HOWARD PARK RD (PX 1935),2
4869,DUNDAS ST AT SORAUREN AVE (PX 640),2
4863,DUNDAS ST AT RITCHIE AVE,2
4866,DUNDAS ST AT RONCESVALLES AVE (PX 1305),2
4918,HOWARD PARK AVE AT RONCESVALLES AVE (PX 833),2
41377,DUNDAS ST W AT SHOPPERS DRUG MART 47M NORTH OF CHELSEA AVE,2,1
5648,INDIAN VALLEY CR AT PARKSIDE DR (PX 1805),2
5834,DUPONT ST AT SYMINGTON AVE (PX 845),2
6198,DUPONT ST AT EDWIN AVE (PX 2097),1
6140,ANNETTE ST AT RUNNYMEDE RD (PX 847),1
4346,GREENWOOD AVE AT SAMMON AVE (PX 658),1
41378,KING GEORGES DR AT TRETHEWEY DR,2
4228,LAWRENCE AVE AT YONGE ST (PX 55),2
41379,LAWRENCE AVE E AT MOUNT PLEASANT RD W,2
4681,LAWRENCE AVE E AT MOUNT PLEASANT RD E (PX 142),2
29723,BOND AVE AT LESLIE ST,2
41380,RUSCICA DR AT SLOANE AVE,1
5026,LAWRENCE AVE W AT ROYAL YORK RD & THE WESTWAY (PX 780),2
31854,LAWRENCE AVE AT WESTONA ST (PX 2288),2
4394,LAWRENCE AVE AT SCARLETT RD (PX 432),2
5025,HICKORY TREE RD AT LAWRENCE AVE & LITTLE AVE (PX 500),2
4803,LAWRENCE AVE AT WESTON RD (PX 431),2
4623,LAWRENCE AVE AT PINE ST (PX 635),2
4219,BLACKSTONE ST AT DUCKWORTH ST & LAWRENCE AVE (PX 2000),2
31852,BROOKHAVEN DR AT LAWRENCE AVE (PX 2108),2
3940,BLACK CREEK DR AT LAWRENCE AVE (PX 1348),2
5023,1630 LAWRENCE AVE W AT 55M E OF OLYMPIA DR (PX 1624),2
5439,CULFORD RD AT LAWRENCE AVE (PX 429),2
5710,LAWRENCE AVE AT PIMLICO RD (PX 1656),2
4982,KEELE ST AT LAWRENCE AVE (PX 428),2
5933,DUVAL DR AT LAWRENCE AVE (PX 1442),2
5934,BENTON RD AT LAWRENCE AVE (PX 399),2
5711,DUFFLAW RD AT LAWRENCE AVE (PX 1123),2
5712,APEX RD AT GOOD SHEPHERD CRT & LAWRENCE AVE(PX 1707),2
31902,CORONA ST AT LAWRENCE AVE W (PX 2364),2
14548,BLOSSOMFIELD DR AT LAWRENCE AVE W (PX 1895),2
4624,LAWRENCE AVE AT VARNA DR (PX 424),2
5024,BRUCEWOOD CRES AT GLENMOUNT AVE & LAWRENCE AVE (PX 1326),2
11722,GLEN RUSH BLVD AT LAWRENCE AVE (PX 1837),2
4625,LAWRENCE AVE AT LEDBURY ST (PX 422),2
5936,DUPLEX AVE AT JEDBURGH RD & LAWRENCE AVE (PX 421),2
4947,DUFFERIN ST AT LAWRENCE AVE (PX 426),2
41395,LAWRENCE AVE W AT WILLIAM R ALLEN RD N,2
41396,LAWRENCE AVE W AT WILLIAM R ALLEN RD S,2
4147,BATHURST ST AT LAWRENCE AVE (PX 423),2
5007,AVENUE RD AT LAWRENCE AVE (PX 119),2
5438,LAWRENCE AVE AT RALPH ST  (PX 1779),2
4128,BELLAMY RD N AT EGLINTON AVE E / GO STATION (PX 191),3
4151,EGLINTON AVE E AT MARKHAM RD (PX 463),3
4577,CEDAR DR AT EGLINTON AVE (PX 1562),2
3952,KINGSTON RD AT SCARBOROUGH GOLF CLUB RD (PX 1053),3
5591,CROMWELL RD AT GUILDWOOD PKWY & KINGSTON RD (PX 146),3
4420,GALLOWAY RD AT KINGSTON RD (PX 145),3
7320,ELLESMERE RD AT MILITARY TRL E (PX 1195),2
41460,HANSON ST AT HILLINGDON AVE,1
16486,GLENHURST AVE AT OAKWOOD AVE,1
41461,LINUS RD AT SENECA HILL DR,1
5555,FINCH AVE W AT GRANTBROOK ST,2
40726,MCNICOLL AVE AT MILLIKEN BLVD,2
11132,JANET BLVD AT VICTORIA PARK AVE,2
41462,ENGLEMOUNT AVE AT LAWRENCE AVE W,2
13554,HUMBER COLLEGE BLVD AT HUMBERLINE DR (PX 2009),2
41355,CORAL GABLE DR AT WESTON RD,2
26876,FINCH AVE W AT KENDLETON DR,2
4311,SHAUGHNESSY BLVD AT SHEPPARD AVE E (PX 745),3
4279,KEELE ST AT WHITBURN CRES (PX 1255),2
5082,SANDOVER DR AT VALLEY WOODS RD & YORK MILLS RD,2
41332,BRIAR HILL AVE AT NEWGATE RD,1
5471,# 2130 BAYVIEW AT VAUGHAN EST & 70M S OF VALLEYANNA DR (PX 1650),2
5928,BEECROFT RD AT NORTH YORK BLVD (PX 1978),2
41352,LAURELCREST AVE AT ROSSEAU RD,1
6304,CLYDE AVE AT WILSON AVE,2
4756,LAWRENCE AVE AT PORT UNION RD (PX 1574),2
31530,COSBURN AVE AT OAK PARK AVE,1
29502,CARLAW AVE AT FULTON AVE,1
37968,AUGUSTA AVE AT WALES AVE,2,1
4552,ST CLAIR AVE AT WINONA DR (PX 486),2
5014,DUPLEX AVE AT GLENGROVE AVE (PX 855),1
20883,DUPLEX AVE AT MONTGOMERY AVE,1
36802,ROYAL YORK RD AT YORKVIEW DR,1
5442,MILITARY TR AT NEILSON RD (PX 1423),2
4218,BRIDGEPORT DR AT CHARLOTTETOWN BLVD & LAWRENCE AVE (PX 1827),2
38707,GARDENS CRES AT WESTVIEW BLVD,2
30884,FELSTEAD AVE AT MONARCH PARK AVE,1
4492,SACKVILLE ST AT SHUTER ST,2
16323,BLOOR ST AT MONTROSE AVE (PX 1928),1,1
38983,COWAN AVE AT KING ST W,2,1
5833,BROCK AVE AT COLLEGE ST (PX 1153),2
39148,HOLLAND PARK AVE AT WINONA DR,1,1
4550,HOUNSLOW HEATH RD AT SILVERTHORN AVE / ST CLAIR AVE (PX 491),1
4407,LAKE SHORE BLVD AT THIRTY-SEVENTH ST (PX 241),1
5600,DANFORTH RD AT GORDONRIDGE PL & WOLFE AVE (PX 988),2
11309,SHUTER ST AT SUMACH ST,1,1
3939,BLACK CREEK DR AT EGLINTON AVE (PX 1422),3
4325,KIPLING AVE AT WIDDICOMBE HILL BLVD (PX 1359),2
41245,BLOOR ST W AT LAUREL AVE,2
4263,CIVIC CENTRE CRT AT THE WEST MALL (PX 1525),2
41293,ISLINGTON AVE AT GRAYSTONE GNDS AND SPRINGBROOK GNDS,2
4204,BREMNER BLVD AT YORK ST & RAPTORS WAY (PX 1755),2
5116,DONLANDS AVE AT OCONNOR DR (PX 443),2
6258,BLOOR ST W AT EMERSON AVE,2,1
5768,COSBURN AVE AT WOODBINE AVE (PX 665),1
41258,DUNDAS ST W AND FISKEN AVE,2
41327,DURIE ST AT ST JOHNS RD,1
41271,CHANDLER DR AT JANRAY DR S,2
4613,EAST AVE AT LAWRENCE AVE E (PX 1838),2
36380,LAWRENCE AVE E AT MEADOWVALE RD,2
4294,MCLEVIN AVE AT SEWELLS RD (PX 1700),2
41104,WARDEN AVE AT UPTON RD,2
13036,CAMILLA CRES AT PHARMACY AVE,2
37146,MIDLAND AVE AT REEVE AVE,2
4634,WELLINGTON ST AT YONGE ST (PX 30),4,1
11675,MARKET ST AT THE ESPLANADE,1
27043,MARKET ST AT WILTON ST,1
4242,JARVIS ST AT KING ST (PX 3),2
4241,FRONT ST E AT LOWER JARVIS ST & JARVIS ST (PX 2),2
6095,LOWER JARVIS ST AT THE ESPLANADE (PX 1392),2
27708,LOWER JARVIS ST AT WILTON ST,2
12190,FRONT ST E AT GEORGE ST (PX 1845),2
11149,GEORGE ST S AT THE ESPLANADE,1
12563,FREDERICK ST AT FRONT ST E,2
41552,THE ESPLANADE AT FREDERICK ST,1
4633,FRONT ST AT YONGE ST (PX 29),2,1
4247,FRONT ST E AT LOWER SHERBOURNE ST & SHERBOURNE ST (PX 253),2
12135,FRONT ST AT PRINCESS ST (PX 1967),2
41553,THE ESPLANADE AT PRINCES ST,1
41554,ONTARIO ST AT SHUTER ST,1,1
12569,ONTARIO ST AT QUEEN ST,2,1
12137,ONTARIO ST AT RICHMOND ST,3,1
12133,ADELAIDE ST AT ONTARIO ST,2,1
12576,KING ST AT ONTARIO ST,2,1
41555,BERKELEY ST AT SHUTER ST,2,1
4635,THE ESPLANADE AT YONGE ST (PX 2345),2
12571,BERKELEY ST AT QUEEN ST,2
12132,BEREKELY ST AT RICHMOND ST E (PX 1962),3,1
11750,ADELAIDE ST AT BERKELEY ST (PX 1964),3,1
12578,BERKELEY ST AT KING ST E (PX 1966),2
4453,BERKELEY ST AT FRONT ST (PX 1968),1,1
40725,BERKELEY ST AND HAHN PL AT THE ESPLANADE,1
4686,PARLIAMENT ST AT SHUTER ST (PX 247),2
6212,SCOTT ST AT WELLINGTON ST,3,1
4258,PARLIAMENT ST AT QUEEN ST (PX 246),2
4010,PARLIAMENT ST AT RICHMOND ST (PX 223),3,1
4470,ADELAIDE ST AT PARLIAMENT ST (PX 214),3,1
6097,KING ST AT PARLIAMENT ST (PX 245),2
4257,FRONT ST AT PARLIAMENT ST (PX 244),2
5069,MILL ST AT PARLIAMENT ST (PX 1894),2
4000,EASTERN AVE AT TRINITY ST (PX 2239),2
22751,FRONT ST AT TRINITY ST,1
11920,MILL ST AT TRINITY ST,1,1
22750,CHERRY ST AT FRONT ST E (PX 2245),1
22573,CHERRY ST AT MILL ST (PX 2246),1
4452,FRONT ST E AT SCOTT ST,3,1
41556,BAYVIEW AVE AT FRONT ST E,1
41557,BAYVIEW AVE AT MILL ST,1
31005,SCOTT ST AT THE ESPLANADE,1
5040,CHURCH ST AT FRONT ST E & WELLINGTON ST E (PX 15),2
4673,CHURCH ST AT THE ESPLANADE (PX 2014),1
12413,FRONT ST E AT MARKET ST,2,1
