"id,location,num_lanes,is_oneway"
"4059,BLOOR ST AT HURON ST (PX 1401)"
"4060,BEDFORD RD AT BLOOR ST (PX 510)"
"4061,BLOOR ST AT MILL RD (PX 924)"
"4062,BLOOR ST AT FORESTVIEW RD & MAPLEDAWN RD (PX 1835)"
"4063,BLOOR ST AT DUNBLOOR RD"
"4064,DANFORTH AVE AT VARIETY VILLAGE & BIRCHMOUNT COLLEGIATE (PX 405)"
"4065,DANFORTH AVE AT EAST LYNN AVE & WOODMOUNT AVE (PX 1281)"
"4066,CEDARVALE AVE AT DANFORTH AVE"
"4067,DANFORTH AVE AT THYRA AVE (PX 1850)"
"4068,HIGHWAY 401 S TCS AT KEELE ST (PX 595)"
"4069,HIGHWAY 401 N TCS AT KEELE ST (PX 596)"
"4071,KEELE ST AT WEST TORONTO ST (PX 1757)"
"4072,KEELE ST AT ST CLAIR AVE & WESTON RD (PX 493)"
"4073,DONALD AVE AT KEELE ST (PX 590)"
"4074,KEELE ST AT RUSTIC RD (PX 1319)"
"4075,KEELE ST AT SHEPPARD AVE (PX 600)"
"4076,KEELE ST AT ST REGIS CRES (PX 1215)"
"4077,FINCH AVE AT KEELE ST (PX 601)"
"4078,KEELE ST AT MURRAY ROSS PKWY/TANGIERS RD (PX 1450)"
"4079,CANARCTIC DR AT KEELE ST & YORK BLVD (PX 956)"
"4080,LAKE SHORE BLVD AT PARKSIDE DR (PX 226)"
"4081,BLOOR ST AT CASTLE FRANK RD (PX 295)"
"4082,KANE AVE AT LAVENDER RD & OLD WESTON RD (PX 1605)"
"4083,OLD WESTON RD AT ROCKWELL AVE"
"4084,CALEDONIA RD AT TYCOS DR"
"4085,COLBECK ST AT RUNNYMEDE RD"
"4086,BURNHAMTHORPE RD AT THE WEST MALL (PX 875)"
"4087,BOTFIELD AVE AT BURNHAMTHORPE RD"
"4088,BURNHAMTHORPE RD AT ECHO VALLEY RD"
"4089,DUPONT ST AT HURON ST"
"4090,BRIMLEY RD AT CITADEL DR & GRAYLEE AVE"
"4091,BRIMLEY RD AT GOLDEN GATE CT & OMNI DR (PX 1826)"
"4092,DAVENPORT RD AT LANSDOWNE AVE (PX 389)"
"4093,CHESSWOOD DR AT STEEPROCK DR (PX 1513)"
"4094,ALNESS ST AT MARTINROSS AVE (PX 1773)"
"4095,ALNESS ST AT SUPERTEST RD (PX 1774)"
"4096,PENGELLY CRT AT ST CLAIR AVE"
"4097,GUNNS RD AT ST CLAIR AVE (PX 1404)"
"4098,LAUGHTON AVE AT ST CLAIR AVE (PX 1087)"
"4099,GLENHOLME AVE AT ST CLAIR AVE (PX 1712)"
"4101,DAVENPORT RD AT DUFFERIN ST (PX 388)"
"4103,DUFFERIN ST AT ST CLAIR AVE (PX 488)"
"4104,DUFFERIN ST AT TYCOS DR"
"4105,DUFFERIN ST AT SAMOR RD (PX 1792)"
"4106,DUFFERIN ST AT FINCH AVE (PX 618)"
"4107,DUFFERIN ST AT STEELES AVE (PX 619)"
"4108,CATHEDRAL BLUFFS DR AT KINGSTON RD & MCCOWAN (PX 149)"
"4109,BRIMORTON DR AT MCCOWAN RD (PX 951)"
"4111,MCCOWAN RD AT MELDAZY DR"
"4112,CHANNEL NINE CRT AT MCCOWAN RD & MILNER AVE (PX 1175)"
"4113,MCCOWAN RD AT SHEPPARD AVE (PX 938)"
"4114,MCCOWAN RD AT 210M S OF ALTON TOWERS CIR N PED TCS (PX 1711)"
