location_id,location,lng,lat,centreline_type,centreline_id,px,latest_count_id,latest_count_date
4053,RUNNYMEDE RD AT ST JOHNS RD (PX 848),-79.4814,43.66381,2,13464724,848,24375,########
4054,BOWMORE RD AT GERRARD ST (PX 366),-79.315,43.67809,2,13461912,366,38355,########
4055,MURRAY ROSS PKWY AT SENTINEL RD (PX 1615),-79.5013,43.76481,2,13448413,1615,34123,7/6/2016
4056,BLOOR ST E AT CHURCH ST (PX 25),-79.3832,43.67105,2,13463285,25,40313,########
4058,BLOOR ST AT OSSINGTON AVE (PX 341),-79.4257,43.66198,2,13464908,341,40973,########
4059,BLOOR ST AT HURON ST (PX 1401),-79.4015,43.66716,2,13463998,1401,36503,########
4060,BEDFORD RD AT BLOOR ST (PX 510),-79.3974,43.66803,2,13463863,510,38283,########
4061,BLOOR ST AT MILL RD (PX 924),-79.5752,43.63204,2,13469240,924,38095,########
4062,BLOOR ST AT FORESTVIEW RD & MAPLEDAWN RD (PX 1835),-79.5734,43.63278,2,13469193,1835,38097,########
4063,BLOOR ST AT DUNBLOOR RD,-79.5323,43.64267,2,13468097,,12589,########
4064,DANFORTH AVE AT VARIETY VILLAGE & BIRCHMOUNT COLLEGIATE (PX 405),-79.2586,43.69906,1,112765,405,24639,########
4065,DANFORTH AVE AT EAST LYNN AVE & WOODMOUNT AVE (PX 1281),-79.3153,43.68515,2,13460625,1281,37189,########
4066,CEDARVALE AVE AT DANFORTH AVE,-79.3109,43.68611,2,13460442,,23047,########
4067,DANFORTH AVE AT THYRA AVE (PX 1850),-79.2903,43.69079,2,13459528,1850,32443,5/7/2015
4068,HIGHWAY 401 S TCS AT KEELE ST (PX 595),-79.4809,43.72114,2,13454953,595,33757,3/8/2016
4069,HIGHWAY 401 N TCS AT KEELE ST (PX 596),-79.4816,43.72444,2,13454472,596,33759,3/8/2016
4070,HUMBERSIDE AVE AT KEELE ST (PX 1729),-79.463,43.66166,2,13465036,1729,41159,########
4071,KEELE ST AT WEST TORONTO ST (PX 1757),-79.4665,43.67003,2,13463685,1757,29433,########
4072,KEELE ST AT ST CLAIR AVE & WESTON RD (PX 493),-79.4676,43.67253,2,13463232,493,36919,########
4073,DONALD AVE AT KEELE ST (PX 590),-79.4728,43.68491,2,13461074,590,33649,########
4074,KEELE ST AT RUSTIC RD (PX 1319),-79.4801,43.71787,2,13455463,1319,33605,4/7/2016
4075,KEELE ST AT SHEPPARD AVE (PX 600),-79.4865,43.74478,2,13451388,600,36479,########
4076,KEELE ST AT ST REGIS CRES (PX 1215),-79.4888,43.75451,2,13449857,1215,33131,########
4077,FINCH AVE AT KEELE ST (PX 601),-79.4911,43.7635,2,13448570,601,33141,########
4078,KEELE ST AT MURRAY ROSS PKWY/TANGIERS RD (PX 1450),-79.492,43.76731,2,13448065,1450,38887,########
4079,CANARCTIC DR AT KEELE ST & YORK BLVD (PX 956),-79.494,43.77521,2,13446884,956,33103,########
4080,LAKE SHORE BLVD AT PARKSIDE DR (PX 226),-79.4535,43.63832,2,13468486,226,30721,########
4081,BLOOR ST AT CASTLE FRANK RD (PX 295),-79.3682,43.67377,2,13462813,295,38617,4/4/2019
